hex7,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,cars_density
871958390ffffff,877.4407252440725,20.0,0,871958390ffffff,1.0,20.0,2.2667206108193889e-07
871958768ffffff,877.775974025974,0.0,1,87195876cffffff,4.0,88.0,2.267586669690177e-07
871958394ffffff,951.1282051282051,6.0,0,871958394ffffff,1.0,6.0,2.4570798278095065e-07
87195876cffffff,841.7882096069869,62.0,0,87195876cffffff,1.0,62.0,2.1746183300645687e-07
871958771ffffff,1998.3396892655367,6.0,0,871958771ffffff,1.0,6.0,5.162374654785497e-07
871958650ffffff,2523.402777777778,0.0,2,87195860bffffff,1.0,11.0,6.518786877822123e-07
871958766ffffff,714.7634003350083,2.0,0,871958766ffffff,1.0,2.0,1.846471088913773e-07
87195839cffffff,1250.5929487179487,0.0,1,87195839effffff,2.0,28.0,3.230696651122325e-07
87195862bffffff,3388.425925925926,0.0,2,87195862effffff,3.0,12.0,8.75342876568055e-07
8719580dbffffff,512.7524509803922,0.0,1,871958766ffffff,2.0,15.0,1.324609760462295e-07
871958775ffffff,232.4212962962963,13.0,0,871958775ffffff,1.0,13.0,6.004213476205227e-08
871958393ffffff,711.0998263888889,50.0,0,871958393ffffff,1.0,50.0,1.8370068614918925e-07
871958392ffffff,580.5689509306261,58.0,0,871958392ffffff,1.0,58.0,1.499802287738787e-07
871958395ffffff,392.02738095238095,3.0,0,871958395ffffff,1.0,3.0,1.0127368366257732e-07
87195839effffff,489.28846153846155,11.0,0,87195839effffff,1.0,11.0,1.2639944881710775e-07
871958765ffffff,204.95281124497993,10.0,0,871958765ffffff,1.0,10.0,5.294611341012749e-08
87195876dffffff,167.4610507246377,2.0,0,87195876dffffff,1.0,2.0,4.326074733782385e-08
8719580cbffffff,320.7280701754386,3.0,0,8719580cbffffff,1.0,3.0,8.285470530590751e-08
871958760ffffff,539.0517676767677,0.0,1,871958766ffffff,4.0,16.0,1.3925496240804995e-07
871958391ffffff,248.79315476190476,0.0,1,871958390ffffff,5.0,101.0,6.427152917625499e-08
8719583b3ffffff,71.22163120567376,4.0,0,8719583b3ffffff,1.0,4.0,1.8398911145270968e-08
871958769ffffff,244.14367816091954,9.0,0,871958769ffffff,1.0,9.0,6.307041505677484e-08
87195839affffff,183.93269230769232,0.0,1,87195839effffff,3.0,22.0,4.7515919043007003e-08
8719586e4ffffff,1088.2162698412699,8.0,0,8719586e4ffffff,1.0,8.0,2.8112237977010443e-07
871958629ffffff,213.33531746031747,0.0,2,87195862effffff,2.0,9.0,5.511159297609383e-08
871958709ffffff,29.62121212121212,0.0,1,871958772ffffff,2.0,20.0,7.652142201848205e-09
871958755ffffff,281.84722222222223,0.0,1,871958754ffffff,2.0,10.0,7.281049184668209e-08
871958666ffffff,44.559895833333336,5.0,0,871958666ffffff,1.0,5.0,1.1511300010982025e-08
871958621ffffff,127.60666666666667,4.0,0,871958621ffffff,1.0,4.0,3.2965037191638696e-08
871958671ffffff,307.39444444444445,0.0,2,871958666ffffff,1.0,5.0,7.941018724424711e-08
87195862effffff,144.64912280701753,7.0,0,87195862effffff,1.0,7.0,3.7367669241977267e-08
871958608ffffff,72.6984649122807,3.0,0,871958608ffffff,1.0,3.0,1.8780426306946142e-08
871958674ffffff,386.0568181818182,0.0,2,871958666ffffff,1.0,5.0,9.973128913940757e-08
87195875cffffff,120.85119047619048,0.0,2,871958741ffffff,1.0,1.0,3.1219873481281785e-08
871958746ffffff,464.8219696969697,0.0,1,871958771ffffff,2.0,10.0,1.2007894194570315e-07
87195876affffff,435.08506944444446,0.0,1,871958741ffffff,2.0,16.0,1.1239691365991445e-07
871958743ffffff,27.481060606060606,0.0,1,871958741ffffff,1.0,1.0,7.099270035090629e-09
871958741ffffff,287.015350877193,1.0,0,871958741ffffff,1.0,1.0,7.414559100546913e-08
87195875dffffff,39.79924242424242,0.0,2,871958666ffffff,2.0,6.0,1.0281465232074051e-08
8719586e6ffffff,353.8501602564103,7.0,0,8719586e6ffffff,1.0,7.0,9.141124047688113e-08
871958758ffffff,547.7179487179487,0.0,2,871958666ffffff,1.0,5.0,1.4149372459653546e-07
871958654ffffff,142.775,0.0,2,871958608ffffff,2.0,14.0,3.688352111987003e-08
871958772ffffff,479.1666666666667,14.0,0,871958772ffffff,1.0,14.0,1.2378465326519154e-07
87195860dffffff,613.2727272727273,0.0,1,871958608ffffff,1.0,3.0,1.5842869962251044e-07
871958763ffffff,676.8229166666666,2.0,0,871958763ffffff,1.0,2.0,1.7484582273708303e-07
87195874cffffff,677.9097222222222,0.0,1,871958741ffffff,1.0,1.0,1.7512658068253234e-07
